project_id,risk_rating_code,risk_rating,risk_rating_sequence,risk_rating_code_key,prod_line,proj_emrg_recvry_flg,approval_fy,fcs_indicator,tl,tl_since,project_track,scale_up,len_instr_type,practice,country,region,net_commit_amt,grant,risk_numeric
P074091,Macroeconomic,S,13,MEC,PE,0,2010,0,145262,2016-09-19,2,0,INVESTMENT,HNP,Kenya,AFR,100,0,3
P074091,Overall,S,13,ORR,PE,0,2010,0,145262,2016-09-19,2,0,INVESTMENT,HNP,Kenya,AFR,100,0,3
P074091,Political and Governance,S,13,PAG,PE,0,2010,0,145262,2016-09-19,2,0,INVESTMENT,HNP,Kenya,AFR,100,0,3
P074091,Stakeholders,M,13,SHR,PE,0,2010,0,145262,2016-09-19,2,0,INVESTMENT,HNP,Kenya,AFR,100,0,2
P074091,Sector Strategies and Policies,S,13,SPI,PE,0,2010,0,145262,2016-09-19,2,0,INVESTMENT,HNP,Kenya,AFR,100,0,3
P074091,Institutional Capacity,S,13,TCI,PE,0,2010,0,145262,2016-09-19,2,0,INVESTMENT,HNP,Kenya,AFR,100,0,3
P074091,Technical Design,L,13,TDO,PE,0,2010,0,145262,2016-09-19,2,0,INVESTMENT,HNP,Kenya,AFR,100,0,1
P074191,Environment and Social,L,17,EAS,PE,0,2008,0,238665,2015-11-17,2,0,INVESTMENT,EAE,Ghana,AFR,90,0,1
P074191,Fiduciary,M,17,FMP,PE,0,2008,0,238665,2015-11-17,2,0,INVESTMENT,EAE,Ghana,AFR,90,0,2
P074191,Macroeconomic,S,17,MEC,PE,0,2008,0,238665,2015-11-17,2,0,INVESTMENT,EAE,Ghana,AFR,90,0,3
P074191,Overall,S,17,ORR,PE,0,2008,0,238665,2015-11-17,2,0,INVESTMENT,EAE,Ghana,AFR,90,0,3
P074191,Political and Governance,S,17,PAG,PE,0,2008,0,238665,2015-11-17,2,0,INVESTMENT,EAE,Ghana,AFR,90,0,3
P074191,Stakeholders,S,17,SHR,PE,0,2008,0,238665,2015-11-17,2,0,INVESTMENT,EAE,Ghana,AFR,90,0,3
P074191,Sector Strategies and Policies,S,17,SPI,PE,0,2008,0,238665,2015-11-17,2,0,INVESTMENT,EAE,Ghana,AFR,90,0,3
P074191,Institutional Capacity,M,17,TCI,PE,0,2008,0,238665,2015-11-17,2,0,INVESTMENT,EAE,Ghana,AFR,90,0,2
P074191,Technical Design,L,17,TDO,PE,0,2008,0,238665,2015-11-17,2,0,INVESTMENT,EAE,Ghana,AFR,90,0,1
P074595,Environment and Social,H,28,EAS,SF,1,2005,0,280041,2016-04-19,NA,0,INVESTMENT,WAT,West Bank and Gaza,MNA,0,7.8,4
P074595,Fiduciary,S,28,FMP,SF,1,2005,0,280041,2016-04-19,NA,0,INVESTMENT,WAT,West Bank and Gaza,MNA,0,7.8,3
P074595,Macroeconomic,H,28,MEC,SF,1,2005,0,280041,2016-04-19,NA,0,INVESTMENT,WAT,West Bank and Gaza,MNA,0,7.8,4
P074595,Overall,H,28,ORR,SF,1,2005,0,280041,2016-04-19,NA,0,INVESTMENT,WAT,West Bank and Gaza,MNA,0,7.8,4
P074595,Political and Governance,H,28,PAG,SF,1,2005,0,280041,2016-04-19,NA,0,INVESTMENT,WAT,West Bank and Gaza,MNA,0,7.8,4
P074595,Stakeholders,H,28,SHR,SF,1,2005,0,280041,2016-04-19,NA,0,INVESTMENT,WAT,West Bank and Gaza,MNA,0,7.8,4
P074595,Sector Strategies and Policies,H,28,SPI,SF,1,2005,0,280041,2016-04-19,NA,0,INVESTMENT,WAT,West Bank and Gaza,MNA,0,7.8,4
P074595,Institutional Capacity,H,28,TCI,SF,1,2005,0,280041,2016-04-19,NA,0,INVESTMENT,WAT,West Bank and Gaza,MNA,0,7.8,4
P074595,Technical Design,S,28,TDO,SF,1,2005,0,280041,2016-04-19,NA,0,INVESTMENT,WAT,West Bank and Gaza,MNA,0,7.8,3
P075941,Environment and Social,H,7,EAS,PE,0,2014,0,300600,2015-08-11,2,0,INVESTMENT,EAE,Africa,AFR,339.9,0,4
P075941,Fiduciary,M,7,FMP,PE,0,2014,0,300600,2015-08-11,2,0,INVESTMENT,EAE,Africa,AFR,339.9,0,2
P075941,Macroeconomic,L,7,MEC,PE,0,2014,0,300600,2015-08-11,2,0,INVESTMENT,EAE,Africa,AFR,339.9,0,1
P075941,Overall,H,7,ORR,PE,0,2014,0,300600,2015-08-11,2,0,INVESTMENT,EAE,Africa,AFR,339.9,0,4
P075941,Political and Governance,H,7,PAG,PE,0,2014,0,300600,2015-08-11,2,0,INVESTMENT,EAE,Africa,AFR,339.9,0,4
P075941,Stakeholders,H,7,SHR,PE,0,2014,0,300600,2015-08-11,2,0,INVESTMENT,EAE,Africa,AFR,339.9,0,4
P075941,Sector Strategies and Policies,L,7,SPI,PE,0,2014,0,300600,2015-08-11,2,0,INVESTMENT,EAE,Africa,AFR,339.9,0,1
P075941,Institutional Capacity,H,7,TCI,PE,0,2014,0,300600,2015-08-11,2,0,INVESTMENT,EAE,Africa,AFR,339.9,0,4
P075941,Technical Design,H,7,TDO,PE,0,2014,0,300600,2015-08-11,2,0,INVESTMENT,EAE,Africa,AFR,339.9,0,4
P079032,Environment and Social,M,18,EAS,PE,0,2008,0,156387,2015-04-16,2,0,INVESTMENT,URS,Russian Federation,ECA,200,0,2
P079032,Fiduciary,S,18,FMP,PE,0,2008,0,156387,2015-04-16,2,0,INVESTMENT,URS,Russian Federation,ECA,200,0,3
P079032,Macroeconomic,S,18,MEC,PE,0,2008,0,156387,2015-04-16,2,0,INVESTMENT,URS,Russian Federation,ECA,200,0,3
P079032,Overall,M,18,ORR,PE,0,2008,0,156387,2015-04-16,2,0,INVESTMENT,URS,Russian Federation,ECA,200,0,2
P079032,Political and Governance,S,18,PAG,PE,0,2008,0,156387,2015-04-16,2,0,INVESTMENT,URS,Russian Federation,ECA,200,0,3
P079032,Stakeholders,M,18,SHR,PE,0,2008,0,156387,2015-04-16,2,0,INVESTMENT,URS,Russian Federation,ECA,200,0,2
P079032,Sector Strategies and Policies,M,18,SPI,PE,0,2008,0,156387,2015-04-16,2,0,INVESTMENT,URS,Russian Federation,ECA,200,0,2
P079032,Institutional Capacity,M,18,TCI,PE,0,2008,0,156387,2015-04-16,2,0,INVESTMENT,URS,Russian Federation,ECA,200,0,2
P079032,Technical Design,M,18,TDO,PE,0,2008,0,156387,2015-04-16,2,0,INVESTMENT,URS,Russian Federation,ECA,200,0,2
P079736,Institutional Capacity,H,19,TCI,PE,0,2007,0,318035,2015-04-02,2,0,INVESTMENT,TAI,Western Africa,AFR,201,0,4
P079736,Macroeconomic,H,19,MEC,PE,0,2007,0,318035,2015-04-02,2,0,INVESTMENT,TAI,Western Africa,AFR,201,0,4
P079736,Political and Governance,H,19,PAG,PE,0,2007,0,318035,2015-04-02,2,0,INVESTMENT,TAI,Western Africa,AFR,201,0,4
P079736,Technical Design,S,19,TDO,PE,0,2007,0,318035,2015-04-02,2,0,INVESTMENT,TAI,Western Africa,AFR,201,0,3
P079736,Environment and Social,S,19,EAS,PE,0,2007,0,318035,2015-04-02,2,0,INVESTMENT,TAI,Western Africa,AFR,201,0,3
P079736,Overall,H,19,ORR,PE,0,2007,0,318035,2015-04-02,2,0,INVESTMENT,TAI,Western Africa,AFR,201,0,4
P079736,Sector Strategies and Policies,S,19,SPI,PE,0,2007,0,318035,2015-04-02,2,0,INVESTMENT,TAI,Western Africa,AFR,201,0,3
P079736,Fiduciary,S,19,FMP,PE,0,2007,0,318035,2015-04-02,2,0,INVESTMENT,TAI,Western Africa,AFR,201,0,3
P079736,Stakeholders,H,19,SHR,PE,0,2007,0,318035,2015-04-02,2,0,INVESTMENT,TAI,Western Africa,AFR,201,0,4
P083108,Environment and Social,M,21,EAS,PE,0,2008,0,151268,2012-08-09,2,0,INVESTMENT,TAI,Azerbaijan,ECA,450,0,2
P083108,Fiduciary,M,21,FMP,PE,0,2008,0,151268,2012-08-09,2,0,INVESTMENT,TAI,Azerbaijan,ECA,450,0,2
P083108,Macroeconomic,M,21,MEC,PE,0,2008,0,151268,2012-08-09,2,0,INVESTMENT,TAI,Azerbaijan,ECA,450,0,2
P083108,Overall,M,21,ORR,PE,0,2008,0,151268,2012-08-09,2,0,INVESTMENT,TAI,Azerbaijan,ECA,450,0,2
P083108,Political and Governance,S,21,PAG,PE,0,2008,0,151268,2012-08-09,2,0,INVESTMENT,TAI,Azerbaijan,ECA,450,0,3
P083108,Stakeholders,M,21,SHR,PE,0,2008,0,151268,2012-08-09,2,0,INVESTMENT,TAI,Azerbaijan,ECA,450,0,2
P083108,Sector Strategies and Policies,S,21,SPI,PE,0,2008,0,151268,2012-08-09,2,0,INVESTMENT,TAI,Azerbaijan,ECA,450,0,3
P083108,Institutional Capacity,S,21,TCI,PE,0,2008,0,151268,2012-08-09,2,0,INVESTMENT,TAI,Azerbaijan,ECA,450,0,3
P083108,Technical Design,M,21,TDO,PE,0,2008,0,151268,2012-08-09,2,0,INVESTMENT,TAI,Azerbaijan,ECA,450,0,2
P083325,Environment and Social,M,22,EAS,PE,0,2007,0,305298,2012-01-10,2,0,INVESTMENT,TAI,Mozambique,AFR,100,0,2
P083325,Fiduciary,S,22,FMP,PE,0,2007,0,305298,2012-01-10,2,0,INVESTMENT,TAI,Mozambique,AFR,100,0,3
P083325,Macroeconomic,M,22,MEC,PE,0,2007,0,305298,2012-01-10,2,0,INVESTMENT,TAI,Mozambique,AFR,100,0,2
P083325,Overall,S,22,ORR,PE,0,2007,0,305298,2012-01-10,2,0,INVESTMENT,TAI,Mozambique,AFR,100,0,3
P083325,Political and Governance,S,22,PAG,PE,0,2007,0,305298,2012-01-10,2,0,INVESTMENT,TAI,Mozambique,AFR,100,0,3
P083325,Stakeholders,M,22,SHR,PE,0,2007,0,305298,2012-01-10,2,0,INVESTMENT,TAI,Mozambique,AFR,100,0,2
P083325,Sector Strategies and Policies,M,22,SPI,PE,0,2007,0,305298,2012-01-10,2,0,INVESTMENT,TAI,Mozambique,AFR,100,0,2
P083325,Institutional Capacity,S,22,TCI,PE,0,2007,0,305298,2012-01-10,2,0,INVESTMENT,TAI,Mozambique,AFR,100,0,3
P083325,Technical Design,M,22,TDO,PE,0,2007,0,305298,2012-01-10,2,0,INVESTMENT,TAI,Mozambique,AFR,100,0,2
P083813,Environment and Social,S,15,EAS,PE,0,2014,1,75790,2015-07-22,2,0,INVESTMENT,ENV,"Congo, Democratic Republic of",AFR,3,0,3
P083813,Fiduciary,S,15,FMP,PE,0,2014,1,75790,2015-07-22,2,0,INVESTMENT,ENV,"Congo, Democratic Republic of",AFR,3,0,3
P083813,Macroeconomic,M,15,MEC,PE,0,2014,1,75790,2015-07-22,2,0,INVESTMENT,ENV,"Congo, Democratic Republic of",AFR,3,0,2
P083813,Overall,S,15,ORR,PE,0,2014,1,75790,2015-07-22,2,0,INVESTMENT,ENV,"Congo, Democratic Republic of",AFR,3,0,3
P083813,Political and Governance,S,15,PAG,PE,0,2014,1,75790,2015-07-22,2,0,INVESTMENT,ENV,"Congo, Democratic Republic of",AFR,3,0,3
P083813,Stakeholders,M,15,SHR,PE,0,2014,1,75790,2015-07-22,2,0,INVESTMENT,ENV,"Congo, Democratic Republic of",AFR,3,0,2
P083813,Sector Strategies and Policies,L,15,SPI,PE,0,2014,1,75790,2015-07-22,2,0,INVESTMENT,ENV,"Congo, Democratic Republic of",AFR,3,0,1
P083813,Institutional Capacity,S,15,TCI,PE,0,2014,1,75790,2015-07-22,2,0,INVESTMENT,ENV,"Congo, Democratic Republic of",AFR,3,0,3
P083813,Technical Design,M,15,TDO,PE,0,2014,1,75790,2015-07-22,2,0,INVESTMENT,ENV,"Congo, Democratic Republic of",AFR,3,0,2
P084302,Environment and Social,M,20,EAS,PE,0,2008,0,82228,2016-10-02,2,0,INVESTMENT,WAT,Pakistan,SAR,150.2,0,2
P084302,Fiduciary,S,20,FMP,PE,0,2008,0,82228,2016-10-02,2,0,INVESTMENT,WAT,Pakistan,SAR,150.2,0,3
P084302,Macroeconomic,S,20,MEC,PE,0,2008,0,82228,2016-10-02,2,0,INVESTMENT,WAT,Pakistan,SAR,150.2,0,3
P084302,Overall,M,20,ORR,PE,0,2008,0,82228,2016-10-02,2,0,INVESTMENT,WAT,Pakistan,SAR,150.2,0,2
P084302,Political and Governance,S,20,PAG,PE,0,2008,0,82228,2016-10-02,2,0,INVESTMENT,WAT,Pakistan,SAR,150.2,0,3
P084302,Stakeholders,L,20,SHR,PE,0,2008,0,82228,2016-10-02,2,0,INVESTMENT,WAT,Pakistan,SAR,150.2,0,1
P084302,Sector Strategies and Policies,M,20,SPI,PE,0,2008,0,82228,2016-10-02,2,0,INVESTMENT,WAT,Pakistan,SAR,150.2,0,2
P084302,Institutional Capacity,M,20,TCI,PE,0,2008,0,82228,2016-10-02,2,0,INVESTMENT,WAT,Pakistan,SAR,150.2,0,2
P084302,Technical Design,L,20,TDO,PE,0,2008,0,82228,2016-10-02,2,0,INVESTMENT,WAT,Pakistan,SAR,150.2,0,1
P084773,Environment and Social,M,13,EAS,PE,0,2011,0,252215,2015-09-03,2,0,INVESTMENT,EAE,Vietnam,EAP,330,0,2
P084773,Fiduciary,M,13,FMP,PE,0,2011,0,252215,2015-09-03,2,0,INVESTMENT,EAE,Vietnam,EAP,330,0,2
P084773,Macroeconomic,M,13,MEC,PE,0,2011,0,252215,2015-09-03,2,0,INVESTMENT,EAE,Vietnam,EAP,330,0,2
P084773,Overall,M,13,ORR,PE,0,2011,0,252215,2015-09-03,2,0,INVESTMENT,EAE,Vietnam,EAP,330,0,2
P084773,Political and Governance,M,13,PAG,PE,0,2011,0,252215,2015-09-03,2,0,INVESTMENT,EAE,Vietnam,EAP,330,0,2
P084773,Stakeholders,M,13,SHR,PE,0,2011,0,252215,2015-09-03,2,0,INVESTMENT,EAE,Vietnam,EAP,330,0,2
P084773,Sector Strategies and Policies,L,13,SPI,PE,0,2011,0,252215,2015-09-03,2,0,INVESTMENT,EAE,Vietnam,EAP,330,0,1
P084773,Institutional Capacity,M,13,TCI,PE,0,2011,0,252215,2015-09-03,2,0,INVESTMENT,EAE,Vietnam,EAP,330,0,2
P084773,Technical Design,L,13,TDO,PE,0,2011,0,252215,2015-09-03,2,0,INVESTMENT,EAE,Vietnam,EAP,330,0,1
P085009,Environment and Social,M,22,EAS,PE,0,2006,0,155331,2011-09-21,2,0,INVESTMENT,TAC,Tanzania,AFR,95,0,2
P085009,Fiduciary,M,22,FMP,PE,0,2006,0,155331,2011-09-21,2,0,INVESTMENT,TAC,Tanzania,AFR,95,0,2
P085009,Macroeconomic,M,22,MEC,PE,0,2006,0,155331,2011-09-21,2,0,INVESTMENT,TAC,Tanzania,AFR,95,0,2
P085009,Overall,S,22,ORR,PE,0,2006,0,155331,2011-09-21,2,0,INVESTMENT,TAC,Tanzania,AFR,95,0,3
P085009,Political and Governance,S,22,PAG,PE,0,2006,0,155331,2011-09-21,2,0,INVESTMENT,TAC,Tanzania,AFR,95,0,3
P085009,Stakeholders,M,22,SHR,PE,0,2006,0,155331,2011-09-21,2,0,INVESTMENT,TAC,Tanzania,AFR,95,0,2
P085009,Sector Strategies and Policies,S,22,SPI,PE,0,2006,0,155331,2011-09-21,2,0,INVESTMENT,TAC,Tanzania,AFR,95,0,3
P085009,Institutional Capacity,S,22,TCI,PE,0,2006,0,155331,2011-09-21,2,0,INVESTMENT,TAC,Tanzania,AFR,95,0,3
P085009,Technical Design,S,22,TDO,PE,0,2006,0,155331,2011-09-21,2,0,INVESTMENT,TAC,Tanzania,AFR,95,0,3
P085375,Environment and Social,L,16,EAS,PE,0,2006,0,86611,2014-10-31,2,0,INVESTMENT,WAT,Indonesia,EAP,137.5,0,1
P085375,Fiduciary,M,16,FMP,PE,0,2006,0,86611,2014-10-31,2,0,INVESTMENT,WAT,Indonesia,EAP,137.5,0,2
P085375,Macroeconomic,M,16,MEC,PE,0,2006,0,86611,2014-10-31,2,0,INVESTMENT,WAT,Indonesia,EAP,137.5,0,2
P085375,Overall,M,16,ORR,PE,0,2006,0,86611,2014-10-31,2,0,INVESTMENT,WAT,Indonesia,EAP,137.5,0,2
P085375,Political and Governance,M,16,PAG,PE,0,2006,0,86611,2014-10-31,2,0,INVESTMENT,WAT,Indonesia,EAP,137.5,0,2
P085375,Stakeholders,L,16,SHR,PE,0,2006,0,86611,2014-10-31,2,0,INVESTMENT,WAT,Indonesia,EAP,137.5,0,1
P085375,Sector Strategies and Policies,L,16,SPI,PE,0,2006,0,86611,2014-10-31,2,0,INVESTMENT,WAT,Indonesia,EAP,137.5,0,1
P085375,Institutional Capacity,M,16,TCI,PE,0,2006,0,86611,2014-10-31,2,0,INVESTMENT,WAT,Indonesia,EAP,137.5,0,2
P085375,Technical Design,L,16,TDO,PE,0,2006,0,86611,2014-10-31,2,0,INVESTMENT,WAT,Indonesia,EAP,137.5,0,1
P085621,Environment and Social,M,8,EAS,GE,0,2013,0,157997,2013-07-22,2,0,INVESTMENT,ENV,Chile,LCR,0,5.9,2
P085621,Fiduciary,M,8,FMP,GE,0,2013,0,157997,2013-07-22,2,0,INVESTMENT,ENV,Chile,LCR,0,5.9,2
P085621,Macroeconomic,L,8,MEC,GE,0,2013,0,157997,2013-07-22,2,0,INVESTMENT,ENV,Chile,LCR,0,5.9,1
P085621,Overall,S,8,ORR,GE,0,2013,0,157997,2013-07-22,2,0,INVESTMENT,ENV,Chile,LCR,0,5.9,3
P085621,Political and Governance,S,8,PAG,GE,0,2013,0,157997,2013-07-22,2,0,INVESTMENT,ENV,Chile,LCR,0,5.9,3
P085621,Stakeholders,L,8,SHR,GE,0,2013,0,157997,2013-07-22,2,0,INVESTMENT,ENV,Chile,LCR,0,5.9,1
P085621,Sector Strategies and Policies,M,8,SPI,GE,0,2013,0,157997,2013-07-22,2,0,INVESTMENT,ENV,Chile,LCR,0,5.9,2
P085621,Institutional Capacity,S,8,TCI,GE,0,2013,0,157997,2013-07-22,2,0,INVESTMENT,ENV,Chile,LCR,0,5.9,3
P085621,Technical Design,L,8,TDO,GE,0,2013,0,157997,2013-07-22,2,0,INVESTMENT,ENV,Chile,LCR,0,5.9,1
P086592,Environment and Social,M,8,EAS,PE,0,2013,0,234433,2010-11-22,2,0,INVESTMENT,WAT,Kazakhstan,ECA,102.9,0,2
P086592,Fiduciary,M,8,FMP,PE,0,2013,0,234433,2010-11-22,2,0,INVESTMENT,WAT,Kazakhstan,ECA,102.9,0,2
P086592,Macroeconomic,M,8,MEC,PE,0,2013,0,234433,2010-11-22,2,0,INVESTMENT,WAT,Kazakhstan,ECA,102.9,0,2
P086592,Overall,S,8,ORR,PE,0,2013,0,234433,2010-11-22,2,0,INVESTMENT,WAT,Kazakhstan,ECA,102.9,0,3
P086592,Political and Governance,S,8,PAG,PE,0,2013,0,234433,2010-11-22,2,0,INVESTMENT,WAT,Kazakhstan,ECA,102.9,0,3
P086592,Stakeholders,M,8,SHR,PE,0,2013,0,234433,2010-11-22,2,0,INVESTMENT,WAT,Kazakhstan,ECA,102.9,0,2
P086592,Sector Strategies and Policies,M,8,SPI,PE,0,2013,0,234433,2010-11-22,2,0,INVESTMENT,WAT,Kazakhstan,ECA,102.9,0,2
P086592,Institutional Capacity,S,8,TCI,PE,0,2013,0,234433,2010-11-22,2,0,INVESTMENT,WAT,Kazakhstan,ECA,102.9,0,3
P086592,Technical Design,M,8,TDO,PE,0,2013,0,234433,2010-11-22,2,0,INVESTMENT,WAT,Kazakhstan,ECA,102.9,0,2
P086660,Environment and Social,L,13,EAS,PE,0,2010,0,108845,2016-09-28,2,0,INVESTMENT,AGR,Tunisia,MNA,36.1,0,1
P086660,Fiduciary,L,13,FMP,PE,0,2010,0,108845,2016-09-28,2,0,INVESTMENT,AGR,Tunisia,MNA,36.1,0,1
P086660,Macroeconomic,M,13,MEC,PE,0,2010,0,108845,2016-09-28,2,0,INVESTMENT,AGR,Tunisia,MNA,36.1,0,2
P086660,Overall,M,13,ORR,PE,0,2010,0,108845,2016-09-28,2,0,INVESTMENT,AGR,Tunisia,MNA,36.1,0,2
P086660,Political and Governance,M,13,PAG,PE,0,2010,0,108845,2016-09-28,2,0,INVESTMENT,AGR,Tunisia,MNA,36.1,0,2
P086660,Stakeholders,L,13,SHR,PE,0,2010,0,108845,2016-09-28,2,0,INVESTMENT,AGR,Tunisia,MNA,36.1,0,1
P086660,Sector Strategies and Policies,S,13,SPI,PE,0,2010,0,108845,2016-09-28,2,0,INVESTMENT,AGR,Tunisia,MNA,36.1,0,3
P086660,Institutional Capacity,S,13,TCI,PE,0,2010,0,108845,2016-09-28,2,0,INVESTMENT,AGR,Tunisia,MNA,36.1,0,3
